VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 40,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 27 | P 2,43,03.01.2010
VW 39,Mika</b><br/>Rain</a>,W 9 | P 33,44,03.01.2010
VW 46,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 21 | P 30,45,03.01.2010
neu,Adrian| Greis| Muriel &amp; SAD</b><br/>Jede Rappe zellt</a>,W 1 | P 46,46,03.01.2010
VW 50,Lily Allen</b><br/>Fuck You</a>,W 30 | P 5,47,03.01.2010
VW 57,David Guetta feat. Estelle</b><br/>One Love</a>,W 2 | P 48,48,03.01.2010
VW 55,Bligg</b><br/>Signal</a>,W 9 | P 23,49,03.01.2010
re,Melanie Thornton</b><br/>Wonderful Dream (Holidays Are Coming)</a>,W 32 | P 3,50,03.01.2010
VW 43,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 9 | P 28,51,03.01.2010
VW 53,Guru Josh Project</b><br/>Infinity 2008</a>,W 65 | P 2,52,03.01.2010
re,Chris Rea</b><br/>Driving Home For Christmas</a>,W 6 | P 41,53,03.01.2010
VW 59,La Roux</b><br/>Bulletproof</a>,W 16 | P 42,54,03.01.2010
VW 54,Shakira</b><br/>Did It Again</a>,W 3 | P 29,55,03.01.2010
re,José Feliciano</b><br/>Feliz Navidad</a>,W 4 | P 51,56,03.01.2010
VW 41,Sido</b><br/>Hey du</a>,W 9 | P 21,57,03.01.2010
VW 69,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 11 | P 47,58,03.01.2010
VW 30,DJ Antoine</b><br/>Every Breath</a>,W 4 | P 10,59,03.01.2010
re,Band Aid</b><br/>Do They Know It's Christmas?</a>,W 14 | P 1,60,03.01.2010
VW 51,Agnes</b><br/>On And On</a>,W 7 | P 37,61,03.01.2010
VW 63,Beyoncé</b><br/>Halo</a>,W 37 | P 4,62,03.01.2010
VW 58,Green Day</b><br/>21 Guns</a>,W 23 | P 13,63,03.01.2010
VW 68,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 42 | P 2,64,03.01.2010
VW 49,Bon Jovi</b><br/>We Weren't Born To Follow</a>,W 11 | P 14,65,03.01.2010
re,Michael Bublé</b><br/>Let It Snow!</a>,W 10 | P 28,66,03.01.2010
VW 67,Michael Bublé</b><br/>Haven't Met You Yet</a>,W 9 | P 37,67,03.01.2010
VW 60,Susan Boyle</b><br/>I Dreamed A Dream</a>,W 4 | P 37,68,03.01.2010
re,John &amp; Yoko / The Plastic Ono Band with The Harlem Community Choir</b><br/>Happy Xmas (War Is Over)</a>,W 2 | P 57,69,03.01.2010
VW 73,The Baseballs</b><br/>Umbrella</a>,W 31 | P 9,70,03.01.2010
VW 37,Beyoncé</b><br/>Sweet Dreams</a>,W 19 | P 16,71,03.01.2010
VW 74,Muse</b><br/>Undisclosed Desires</a>,W 3 | P 72,72,03.01.2010
VW 62,Leona Lewis</b><br/>Run</a>,W 41 | P 2,73,03.01.2010
VW 82,Bligg</b><br/>Musigg i dä Schwiiz</a>,W 55 | P 9,74,03.01.2010
VW 52,Madonna</b><br/>Celebration</a>,W 19 | P 4,75,03.01.2010
VW 1,Melanie Fiona</b><br/>Monday Morning</a>,W 11 | P 1,1,10.01.2010
VW 2,Rihanna</b><br/>Russian Roulette</a>,W 7 | P 2,2,10.01.2010
VW 8,Ke$ha</b><br/>TiK ToK</a>,W 2 | P 3,3,10.01.2010
VW 24,Lady Gaga</b><br/>Bad Romance</a>,W 8 | P 4,4,10.01.2010
VW 3,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 11 | P 3,5,10.01.2010
VW 6,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 25 | P 1,6,10.01.2010
VW 7,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 22 | P 2,7,10.01.2010
VW 5,OneRepublic</b><br/>All The Right Moves</a>,W 10 | P 2,8,10.01.2010
VW 4,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 15 | P 4,9,10.01.2010
VW 10,Robbie Williams</b><br/>Bodies</a>,W 11 | P 1,10,10.01.2010
VW 12,Lady Gaga</b><br/>Paparazzi</a>,W 18 | P 4,11,10.01.2010
VW 15,Gossip</b><br/>Heavy Cross</a>,W 29 | P 2,12,10.01.2010
VW 13,Leona Lewis</b><br/>Happy</a>,W 7 | P 4,13,10.01.2010
VW 16,Culcha Candela</b><br/>Monsta</a>,W 5 | P 14,14,10.01.2010
VW 37,Shakira</b><br/>She Wolf</a>,W 17 | P 3,15,10.01.2010
VW 22,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 22 | P 2,16,10.01.2010
VW 45,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 22 | P 17,17,10.01.2010
VW 28,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 35 | P 1,18,10.01.2010
VW 32,Lady Gaga</b><br/>Poker Face</a>,W 52 | P 1,19,10.01.2010
VW 17,Ich + Ich</b><br/>Pflaster</a>,W 6 | P 6,20,10.01.2010
VW 20,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 4 | P 20,21,10.01.2010
VW 19,Paloma Faith</b><br/>New York</a>,W 7 | P 19,22,10.01.2010
VW 21,Agnes</b><br/>Release Me</a>,W 18 | P 5,23,10.01.2010
VW 34,Cascada</b><br/>Evacuate The Dancefloor</a>,W 24 | P 7,24,10.01.2010
VW 9,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 5 | P 5,25,10.01.2010
neu,Naturi Naughton</b><br/>Fame</a>,W 1 | P 26,26,10.01.2010
VW 39,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 37 | P 4,27,10.01.2010
VW 30,Britney Spears</b><br/>3</a>,W 7 | P 8,28,10.01.2010
VW 38,Bligg</b><br/>Rosalie</a>,W 62 | P 5,29,10.01.2010
VW 36,Pitbull</b><br/>Hotel Room Service</a>,W 17 | P 11,30,10.01.2010
VW 25,Stress</b><br/>Si loin</a>,W 5 | P 16,31,10.01.2010
VW 31,P!nk</b><br/>Funhouse</a>,W 12 | P 8,32,10.01.2010
VW 35,Muse</b><br/>Uprising</a>,W 20 | P 8,33,10.01.2010
VW 27,OneRepublic</b><br/>Secrets</a>,W 6 | P 27,34,10.01.2010
VW 44,Mika</b><br/>Rain</a>,W 10 | P 33,35,10.01.2010
VW 47,Lily Allen</b><br/>Fuck You</a>,W 31 | P 5,36,10.01.2010
VW 41,Milow</b><br/>You Don't Know</a>,W 23 | P 8,37,10.01.2010
VW 23,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 3 | P 23,38,10.01.2010
VW 11,Da Sign &amp; The Opposite</b><br/>Slow Down Take It Easy</a>,W 3 | P 5,39,10.01.2010
VW 64,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 43 | P 2,40,10.01.2010
VW 58,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 12 | P 41,41,10.01.2010
VW 43,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 28 | P 2,42,10.01.2010
VW 62,Beyoncé</b><br/>Halo</a>,W 38 | P 4,43,10.01.2010
VW 40,Owl City</b><br/>Fireflies</a>,W 3 | P 40,44,10.01.2010
VW 42,Melanie Fiona</b><br/>Give It To Me Right</a>,W 25 | P 5,45,10.01.2010
VW 63,Green Day</b><br/>21 Guns</a>,W 24 | P 13,46,10.01.2010
VW 52,Guru Josh Project</b><br/>Infinity 2008</a>,W 66 | P 2,47,10.01.2010
VW 55,Shakira</b><br/>Did It Again</a>,W 4 | P 29,48,10.01.2010
VW 51,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 10 | P 28,49,10.01.2010
re,Jena Lee</b><br/>J'aimerais tellement</a>,W 8 | P 50,50,10.01.2010
re,Milow</b><br/>Ayo Technology</a>,W 40 | P 1,51,10.01.2010
VW 61,Agnes</b><br/>On And On</a>,W 8 | P 37,52,10.01.2010
VW 71,Beyoncé</b><br/>Sweet Dreams</a>,W 20 | P 16,53,10.01.2010
VW 49,Bligg</b><br/>Signal</a>,W 10 | P 23,54,10.01.2010
VW 57,Sido</b><br/>Hey du</a>,W 10 | P 21,55,10.01.2010
VW 74,Bligg</b><br/>Musigg i dä Schwiiz</a>,W 56 | P 9,56,10.01.2010
VW 48,David Guetta feat. Estelle</b><br/>One Love</a>,W 3 | P 48,57,10.01.2010
re,Michael Jackson</b><br/>Billie Jean</a>,W 34 | P 1,58,10.01.2010
VW 29,Keri Hilson</b><br/>I Like</a>,W 2 | P 29,59,10.01.2010
VW 54,La Roux</b><br/>Bulletproof</a>,W 17 | P 42,60,10.01.2010
re,Linkin Park</b><br/>New Divide</a>,W 30 | P 7,61,10.01.2010
re,Pixie Lott</b><br/>Mama Do</a>,W 13 | P 34,62,10.01.2010
re,Katy Perry</b><br/>Hot N Cold</a>,W 59 | P 1,63,10.01.2010
VW 33,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 53 | P 1,64,10.01.2010
VW 75,Madonna</b><br/>Celebration</a>,W 20 | P 4,65,10.01.2010
VW 72,Muse</b><br/>Undisclosed Desires</a>,W 4 | P 66,66,10.01.2010
VW 70,The Baseballs</b><br/>Umbrella</a>,W 32 | P 9,67,10.01.2010
re,Michael Jackson</b><br/>Thriller</a>,W 27 | P 3,68,10.01.2010
re,Foo Fighters</b><br/>Wheels</a>,W 8 | P 48,69,10.01.2010
re,Culcha Candela</b><br/>Schöne neue Welt</a>,W 15 | P 27,70,10.01.2010
re,Jan Delay</b><br/>Oh Jonny</a>,W 21 | P 19,71,10.01.2010
re,Robbie Williams</b><br/>You Know Me</a>,W 2 | P 72,72,10.01.2010
VW 65,Bon Jovi</b><br/>We Weren't Born To Follow</a>,W 12 | P 14,73,10.01.2010
re,Silbermond</b><br/>Krieger des Lichts</a>,W 7 | P 63,74,10.01.2010
re,Mariah Carey</b><br/>I Want To Know What Love Is</a>,W 13 | P 25,75,10.01.2010
VW 2,Rihanna</b><br/>Russian Roulette</a>,W 8 | P 1,1,17.01.2010
VW 3,Ke$ha</b><br/>TiK ToK</a>,W 3 | P 2,2,17.01.2010
VW 1,Melanie Fiona</b><br/>Monday Morning</a>,W 12 | P 1,3,17.01.2010
VW 4,Lady Gaga</b><br/>Bad Romance</a>,W 9 | P 4,4,17.01.2010
VW 5,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 12 | P 3,5,17.01.2010
VW 9,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 16 | P 4,6,17.01.2010
VW 6,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 26 | P 1,7,17.01.2010
VW 8,OneRepublic</b><br/>All The Right Moves</a>,W 11 | P 2,8,17.01.2010
VW 7,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 23 | P 2,9,17.01.2010
VW 12,Gossip</b><br/>Heavy Cross</a>,W 30 | P 2,10,17.01.2010
VW 21,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 5 | P 11,11,17.01.2010
VW 11,Lady Gaga</b><br/>Paparazzi</a>,W 19 | P 4,12,17.01.2010
VW 17,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 23 | P 13,13,17.01.2010
VW 13,Leona Lewis</b><br/>Happy</a>,W 8 | P 4,14,17.01.2010
VW 14,Culcha Candela</b><br/>Monsta</a>,W 6 | P 14,15,17.01.2010
VW 10,Robbie Williams</b><br/>Bodies</a>,W 12 | P 1,16,17.01.2010
VW 15,Shakira</b><br/>She Wolf</a>,W 18 | P 3,17,17.01.2010
VW 20,Ich + Ich</b><br/>Pflaster</a>,W 7 | P 6,18,17.01.2010
VW 19,Lady Gaga</b><br/>Poker Face</a>,W 53 | P 1,19,17.01.2010
VW 23,Agnes</b><br/>Release Me</a>,W 19 | P 5,20,17.01.2010
VW 18,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 36 | P 1,21,17.01.2010
VW 24,Cascada</b><br/>Evacuate The Dancefloor</a>,W 25 | P 7,22,17.01.2010
VW 34,OneRepublic</b><br/>Secrets</a>,W 7 | P 23,23,17.01.2010
VW 26,Naturi Naughton</b><br/>Fame</a>,W 2 | P 24,24,17.01.2010
VW 22,Paloma Faith</b><br/>New York</a>,W 8 | P 19,25,17.01.2010
VW 16,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 23 | P 2,26,17.01.2010
VW 31,Stress</b><br/>Si loin</a>,W 6 | P 16,27,17.01.2010
VW 35,Mika</b><br/>Rain</a>,W 11 | P 28,28,17.01.2010
VW 25,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 6 | P 5,29,17.01.2010
VW 44,Owl City</b><br/>Fireflies</a>,W 4 | P 30,30,17.01.2010
VW 27,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 38 | P 4,31,17.01.2010
VW 28,Britney Spears</b><br/>3</a>,W 8 | P 8,32,17.01.2010
VW 30,Pitbull</b><br/>Hotel Room Service</a>,W 18 | P 11,33,17.01.2010
VW 38,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 4 | P 23,34,17.01.2010
VW 62,Pixie Lott</b><br/>Mama Do</a>,W 14 | P 34,35,17.01.2010
VW 59,Keri Hilson</b><br/>I Like</a>,W 3 | P 29,36,17.01.2010
re,Stanfour</b><br/>In Your Arms</a>,W 14 | P 21,37,17.01.2010
VW 29,Bligg</b><br/>Rosalie</a>,W 63 | P 5,38,17.01.2010
VW 36,Lily Allen</b><br/>Fuck You</a>,W 32 | P 5,39,17.01.2010
VW 33,Muse</b><br/>Uprising</a>,W 21 | P 8,40,17.01.2010
VW 37,Milow</b><br/>You Don't Know</a>,W 24 | P 8,41,17.01.2010
VW 39,Da Sign &amp; The Opposite</b><br/>Slow Down Take It Easy</a>,W 4 | P 5,42,17.01.2010
VW 42,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 29 | P 2,43,17.01.2010
VW 32,P!nk</b><br/>Funhouse</a>,W 13 | P 8,44,17.01.2010
VW 41,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 13 | P 41,45,17.01.2010
VW 48,Shakira</b><br/>Did It Again</a>,W 5 | P 29,46,17.01.2010
VW 49,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 11 | P 28,47,17.01.2010
VW 40,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 44 | P 2,48,17.01.2010
VW 70,Culcha Candela</b><br/>Schöne neue Welt</a>,W 16 | P 27,49,17.01.2010
VW 54,Bligg</b><br/>Signal</a>,W 11 | P 23,50,17.01.2010
VW 47,Guru Josh Project</b><br/>Infinity 2008</a>,W 67 | P 2,51,17.01.2010
VW 52,Agnes</b><br/>On And On</a>,W 9 | P 37,52,17.01.2010
VW 43,Beyoncé</b><br/>Halo</a>,W 39 | P 4,53,17.01.2010
VW 45,Melanie Fiona</b><br/>Give It To Me Right</a>,W 26 | P 5,54,17.01.2010
VW 66,Muse</b><br/>Undisclosed Desires</a>,W 5 | P 55,55,17.01.2010
VW 63,Katy Perry</b><br/>Hot N Cold</a>,W 60 | P 1,56,17.01.2010
VW 60,La Roux</b><br/>Bulletproof</a>,W 18 | P 42,57,17.01.2010
VW 64,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 54 | P 1,58,17.01.2010
VW 50,Jena Lee</b><br/>J'aimerais tellement</a>,W 9 | P 50,59,17.01.2010
VW 46,Green Day</b><br/>21 Guns</a>,W 25 | P 13,60,17.01.2010
VW 57,David Guetta feat. Estelle</b><br/>One Love</a>,W 4 | P 48,61,17.01.2010
re,DJ Ötzi &amp; Nik P.</b><br/>Ein Stern (... der deinen Namen trägt)</a>,W 118 | P 2,62,17.01.2010
neu,Gossip</b><br/>Love Long Distance</a>,W 1 | P 63,63,17.01.2010
VW 56,Bligg</b><br/>Musigg i dä Schwiiz</a>,W 57 | P 9,64,17.01.2010
VW 53,Beyoncé</b><br/>Sweet Dreams</a>,W 21 | P 16,65,17.01.2010
neu,Pixie Lott</b><br/>Cry Me Out</a>,W 1 | P 66,66,17.01.2010
re,Kings Of Leon</b><br/>Use Somebody</a>,W 42 | P 9,67,17.01.2010
neu,Drake| Kanye West| Lil Wayne &amp; Eminem</b><br/>Forever</a>,W 1 | P 68,68,17.01.2010
VW 55,Sido</b><br/>Hey du</a>,W 11 | P 21,69,17.01.2010
re,Jay Sean feat. Lil Wayne</b><br/>Down</a>,W 12 | P 47,70,17.01.2010
re,Coldplay</b><br/>Viva la vida</a>,W 73 | P 5,71,17.01.2010
VW 51,Milow</b><br/>Ayo Technology</a>,W 41 | P 1,72,17.01.2010
VW 75,Mariah Carey</b><br/>I Want To Know What Love Is</a>,W 14 | P 25,73,17.01.2010
VW 72,Robbie Williams</b><br/>You Know Me</a>,W 3 | P 72,74,17.01.2010
VW 65,Madonna</b><br/>Celebration</a>,W 21 | P 4,75,17.01.2010
VW 2,Ke$ha</b><br/>TiK ToK</a>,W 4 | P 1,1,24.01.2010
VW 4,Lady Gaga</b><br/>Bad Romance</a>,W 10 | P 2,2,24.01.2010
VW 3,Melanie Fiona</b><br/>Monday Morning</a>,W 13 | P 1,3,24.01.2010
VW 1,Rihanna</b><br/>Russian Roulette</a>,W 9 | P 1,4,24.01.2010
VW 5,The Black Eyed Peas</b><br/>Meet Me Halfway</a>,W 13 | P 3,5,24.01.2010
VW 11,Aura Dione</b><br/>I Will Love You Monday (365)</a>,W 6 | P 6,6,24.01.2010
VW 6,Jay-Z + Alicia Keys</b><br/>Empire State Of Mind</a>,W 17 | P 4,7,24.01.2010
VW 7,The Black Eyed Peas</b><br/>I Gotta Feeling</a>,W 27 | P 1,8,24.01.2010
VW 10,Gossip</b><br/>Heavy Cross</a>,W 31 | P 2,9,24.01.2010
VW 8,OneRepublic</b><br/>All The Right Moves</a>,W 12 | P 2,10,24.01.2010
VW 9,David Guetta feat. Akon</b><br/>Sexy Bitch</a>,W 24 | P 2,11,24.01.2010
VW 12,Lady Gaga</b><br/>Paparazzi</a>,W 20 | P 4,12,24.01.2010
VW 30,Owl City</b><br/>Fireflies</a>,W 5 | P 13,13,24.01.2010
VW 18,Ich + Ich</b><br/>Pflaster</a>,W 8 | P 6,14,24.01.2010
VW 25,Paloma Faith</b><br/>New York</a>,W 9 | P 15,15,24.01.2010
VW 15,Culcha Candela</b><br/>Monsta</a>,W 7 | P 14,16,24.01.2010
VW 13,Frauenarzt &amp; Manny Marc</b><br/>Das geht ab! (Wir feiern die ganze Nacht)</a>,W 24 | P 13,17,24.01.2010
VW 20,Agnes</b><br/>Release Me</a>,W 20 | P 5,18,24.01.2010
VW 36,Keri Hilson</b><br/>I Like</a>,W 4 | P 19,19,24.01.2010
VW 16,Robbie Williams</b><br/>Bodies</a>,W 13 | P 1,20,24.01.2010
VW 34,Timbaland feat. Nelly Furtado &amp; SoShy</b><br/>Morning After Dark</a>,W 5 | P 21,21,24.01.2010
VW 27,Stress</b><br/>Si loin</a>,W 7 | P 16,22,24.01.2010
VW 22,Cascada</b><br/>Evacuate The Dancefloor</a>,W 26 | P 7,23,24.01.2010
VW 29,Alicia Keys</b><br/>Doesn't Mean Anything</a>,W 7 | P 5,24,24.01.2010
VW 14,Leona Lewis</b><br/>Happy</a>,W 9 | P 4,25,24.01.2010
VW 32,Britney Spears</b><br/>3</a>,W 9 | P 8,26,24.01.2010
VW 19,Lady Gaga</b><br/>Poker Face</a>,W 54 | P 1,27,24.01.2010
VW 23,OneRepublic</b><br/>Secrets</a>,W 8 | P 23,28,24.01.2010
VW 28,Mika</b><br/>Rain</a>,W 12 | P 28,29,24.01.2010
VW 21,David Guetta feat. Kelly Rowland</b><br/>When Love Takes Over</a>,W 37 | P 1,30,24.01.2010
VW 33,Pitbull</b><br/>Hotel Room Service</a>,W 19 | P 11,31,24.01.2010
VW 24,Naturi Naughton</b><br/>Fame</a>,W 3 | P 24,32,24.01.2010
VW 31,The Black Eyed Peas</b><br/>Boom Boom Pow</a>,W 39 | P 4,33,24.01.2010
VW 26,Marit Larsen</b><br/>If A Song Could Get Me You</a>,W 24 | P 2,34,24.01.2010
VW 58,Jodlerklub Wiesenberg &amp; Francine Jordi</b><br/>Das Feyr vo dr Sehnsucht</a>,W 55 | P 1,35,24.01.2010
VW 41,Milow</b><br/>You Don't Know</a>,W 25 | P 8,36,24.01.2010
VW 40,Muse</b><br/>Uprising</a>,W 22 | P 8,37,24.01.2010
VW 51,Guru Josh Project</b><br/>Infinity 2008</a>,W 68 | P 2,38,24.01.2010
VW 55,Muse</b><br/>Undisclosed Desires</a>,W 6 | P 39,39,24.01.2010
neu,Jason Derulo</b><br/>Whatcha Say</a>,W 1 | P 40,40,24.01.2010
VW 47,Xavier Naidoo</b><br/>Alles kann besser werden</a>,W 12 | P 28,41,24.01.2010
VW 39,Lily Allen</b><br/>Fuck You</a>,W 33 | P 5,42,24.01.2010
VW 43,Pitbull</b><br/>I Know You Want Me (Calle Ocho)</a>,W 30 | P 2,43,24.01.2010
VW 49,Culcha Candela</b><br/>Schöne neue Welt</a>,W 17 | P 27,44,24.01.2010
VW 17,Shakira</b><br/>She Wolf</a>,W 19 | P 3,45,24.01.2010
VW 48,Flo Rida feat. Ke$ha</b><br/>Right Round</a>,W 45 | P 2,46,24.01.2010
VW 44,P!nk</b><br/>Funhouse</a>,W 14 | P 8,47,24.01.2010
VW 42,Da Sign &amp; The Opposite</b><br/>Slow Down Take It Easy</a>,W 5 | P 5,48,24.01.2010
VW 45,Miley Cyrus</b><br/>Party In The U.S.A.</a>,W 14 | P 41,49,24.01.2010
VW 38,Bligg</b><br/>Rosalie</a>,W 64 | P 5,50,24.01.2010
VW 37,Stanfour</b><br/>In Your Arms</a>,W 15 | P 21,51,24.01.2010
re,Faithless</b><br/>Insomnia 2005</a>,W 37 | P 29,52,24.01.2010
VW 71,Coldplay</b><br/>Viva la vida</a>,W 74 | P 5,53,24.01.2010
VW 52,Agnes</b><br/>On And On</a>,W 10 | P 37,54,24.01.2010
VW 63,Gossip</b><br/>Love Long Distance</a>,W 2 | P 55,55,24.01.2010
VW 61,David Guetta feat. Estelle</b><br/>One Love</a>,W 5 | P 48,56,24.01.2010
re,Metallica</b><br/>Nothing Else Matters</a>,W 72 | P 5,57,24.01.2010
VW 73,Mariah Carey</b><br/>I Want To Know What Love Is</a>,W 15 | P 25,58,24.01.2010
re,Patent Ochsner</b><br/>Scharlachrot</a>,W 11 | P 38,59,24.01.2010
VW 50,Bligg</b><br/>Signal</a>,W 12 | P 23,60,24.01.2010
VW 70,Jay Sean feat. Lil Wayne</b><br/>Down</a>,W 13 | P 47,61,24.01.2010
re,Silbermond</b><br/>Krieger des Lichts</a>,W 8 | P 62,62,24.01.2010
VW 56,Katy Perry</b><br/>Hot N Cold</a>,W 61 | P 1,63,24.01.2010
re,Vanessa Paradis</b><br/>Il y a</a>,W 3 | P 56,64,24.01.2010
VW 57,La Roux</b><br/>Bulletproof</a>,W 19 | P 42,65,24.01.2010
VW 53,Beyoncé</b><br/>Halo</a>,W 40 | P 4,66,24.01.2010
re,Michael Bublé</b><br/>Haven't Met You Yet</a>,W 10 | P 37,67,24.01.2010
re,Timbaland Presents OneRepublic</b><br/>Apologize</a>,W 80 | P 1,68,24.01.2010
VW 65,Beyoncé</b><br/>Sweet Dreams</a>,W 22 | P 16,69,24.01.2010
re,Jan Delay</b><br/>Oh Jonny</a>,W 22 | P 19,70,24.01.2010
